VTX, IDX, gl_Position.x, gl_Position.y, gl_Position.z, gl_Position.w, fTexCoord.x, fTexCoord.y
124, 124, -0.57684, -1.00,  0.00,  1.00,  0.14888,  0.94737
125, 125, -0.55579, -1.00,  0.00,  1.00,  0.16129,  0.94737
126, 126, -0.55579, -0.94333,  0.00,  1.00,  0.05087,  0.05263
127, 127, -0.53684, -1.00,  0.00,  1.00,  0.06203,  0.94737
128, 128, -0.53684, -0.94333,  0.00,  1.00,  0.06203,  0.05263
129, 129, -0.55579, -0.94333,  0.00,  1.00,  0.05087,  0.05263
130, 130, -0.55579, -1.00,  0.00,  1.00,  0.05087,  0.94737
131, 131, -0.53684, -1.00,  0.00,  1.00,  0.06203,  0.94737
132, 132, -0.53684, -0.94333,  0.00,  1.00,  0.21216,  0.05263
133, 133, -0.51789, -1.00,  0.00,  1.00,  0.22333,  0.94737
134, 134, -0.51789, -0.94333,  0.00,  1.00,  0.22333,  0.05263
135, 135, -0.53684, -0.94333,  0.00,  1.00,  0.21216,  0.05263
136, 136, -0.53684, -1.00,  0.00,  1.00,  0.21216,  0.94737
137, 137, -0.51789, -1.00,  0.00,  1.00,  0.22333,  0.94737
138, 138, -0.51789, -0.94333,  0.00,  1.00,  0.00124,  0.05263
139, 139, -0.49895, -1.00,  0.00,  1.00,  0.01241,  0.94737
140, 140, -0.49895, -0.94333,  0.00,  1.00,  0.01241,  0.05263
141, 141, -0.51789, -0.94333,  0.00,  1.00,  0.00124,  0.05263
142, 142, -0.51789, -1.00,  0.00,  1.00,  0.00124,  0.94737
143, 143, -0.49895, -1.00,  0.00,  1.00,  0.01241,  0.94737
144, 144, -0.49053, -0.94333,  0.00,  1.00,  0.3139,  0.05263
145, 145, -0.47158, -1.00,  0.00,  1.00,  0.32506,  0.94737
146, 146, -0.47158, -0.94333,  0.00,  1.00,  0.32506,  0.05263
147, 147, -0.49053, -0.94333,  0.00,  1.00,  0.3139,  0.05263
148, 148, -0.49053, -1.00,  0.00,  1.00,  0.3139,  0.94737
149, 149, -0.47158, -1.00,  0.00,  1.00,  0.32506,  0.94737
150, 150, -0.47158, -0.94333,  0.00,  1.00,  0.87221,  0.05263
151, 151, -0.45895, -1.00,  0.00,  1.00,  0.87965,  0.94737
152, 152, -0.45895, -0.94333,  0.00,  1.00,  0.87965,  0.05263
153, 153, -0.47158, -0.94333,  0.00,  1.00,  0.87221,  0.05263
154, 154, -0.47158, -1.00,  0.00,  1.00,  0.87221,  0.94737
155, 155, -0.45895, -1.00,  0.00,  1.00,  0.87965,  0.94737
156, 156, -0.45053, -0.94333,  0.00,  1.00,  0.7134,  0.05263
157, 157, -0.43158, -1.00,  0.00,  1.00,  0.72457,  0.94737
158, 158, -0.43158, -0.94333,  0.00,  1.00,  0.72457,  0.05263
159, 159, -0.45053, -0.94333,  0.00,  1.00,  0.7134,  0.05263
160, 160, -0.45053, -1.00,  0.00,  1.00,  0.7134,  0.94737
161, 161, -0.43158, -1.00,  0.00,  1.00,  0.72457,  0.94737
